flight_number,link,origin_airport,destination_airport,departure_at,airline,destination_code,origin,price,gate,return_transfers,duration,duration_to,duration_back,transfers,destination_name,country_code
785,/search/MOW2707MIL1?t=W417851854001785287400001760VKOEVNMXP_f6d8393c24d356c11ba75d37a6b8a59f_19523&search_date=21032026&expected_price_uuid=019d122a-b001-8030-2ae5-79c0525937e4&static_fare_key=TY%7CP1%7CH0%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=eur&expected_price=203,VKO,MXP,2026-07-27T20:50:00+03:00,UT,MIL,MOW,203,Kupi.com,0,1760,490,0,1,Milan,IT
2170,/search/MOW2407LON1?t=SU17848548001784931600001400SVOISTLGW_d715c1b5164b8f91cb41e3bc33aeab52_20023&search_date=20032026&expected_price_uuid=019d0c84-9a51-8030-66e5-64e6b588983c&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=eur&expected_price=208,SVO,LGW,2026-07-24T01:00:00+03:00,SU,LON,MOW,208,Kupi.com,0,1400,550,0,1,London,GB
710,/search/MOW2707LCA1?t=5G17851218001785192000001170SVOEVNLCA_e35e7f58bdd23de50077b93897ce6b9c_20194&search_date=22032026&expected_price_uuid=019d15c4-3d83-8030-e541-c80dfac358cd&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=eur&expected_price=210,SVO,LCA,2026-07-27T03:10:00+03:00,5G,LCA,MOW,210,Авиасейлс,0,1170,355,0,1,Larnaca,CY
710,/search/MOW0807ROM1?t=W417834802001783609200002210SVOEVNFCO_169a0a7bb6c309416b6dbab7fda97ff5_20764&search_date=22032026&expected_price_uuid=019d1582-ebd2-8030-68b6-d9703c5f5363&static_fare_key=TY%7CP1%7CH0%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=eur&expected_price=216,SVO,FCO,2026-07-08T03:10:00+03:00,5G,ROM,MOW,216,Авиасейлс,0,2210,480,0,1,Rome,IT
2134,/search/MOW2207PAR1?t=SU17847402001784789400000880SVOISTORY_aba8af23a10ccc3866c9d3bdda1b0905_20961&search_date=22032026&expected_price_uuid=019d155c-18b6-8030-e7be-18740a102cb6&static_fare_key=TY%7CP1%7CH0%7CL0%7CCH1%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=eur&expected_price=218,SVO,ORY,2026-07-22T17:10:00+03:00,SU,PAR,MOW,218,Авиасейлс,0,880,525,0,1,Paris,FR
993,/search/MOW2307RMO1?t=DP17847894001784905500001935VKOISTSAWRMO_774cb3b69645c4720592e16a218e04a4_21140&search_date=21032026&expected_price_uuid=019d12d6-4b02-8030-ecff-d1b84a4f92a8&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH1%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=eur&expected_price=220,VKO,RMO,2026-07-23T06:50:00+03:00,DP,RMO,MOW,220,Kupi.com,0,1935,405,0,1,Chisinau,MD
336,/search/MOW0907BCN1?t=J917835573001783644000001505DMEKWISAWISTBCN_0bd2c721fadc5d38b18bb81223bc037b_24456&search_date=21032026&expected_price_uuid=019d11d9-2914-8030-a772-67623d35a0ab&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=eur&expected_price=255,DME,BCN,2026-07-09T00:35:00+03:00,J9,BCN,MOW,255,Aviakassa,0,1505,760,0,2,Barcelona,ES
2170,/search/MOW2307BEG1?t=SU17847684001784822100000955SVOISTSAWBEG_78d07e61df2d7cdcb0282a0e1133c3b4_26658&search_date=22032026&expected_price_uuid=019d1558-907a-8030-efa5-7810b84f4393&static_fare_key=TY%7CP1%7CH0%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=eur&expected_price=278,SVO,BEG,2026-07-23T01:00:00+03:00,SU,BEG,MOW,278,Авиасейлс,0,955,400,0,1,Belgrade,RS
993,/search/MOW2307TIV1?t=DP17847894001784820900000585VKOISTTIV_127609e9dbe8fa72593b12758863528f_29851&search_date=22032026&expected_price_uuid=019d146c-415f-8030-e459-c4ca01322c7f&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=eur&expected_price=311,VKO,TIV,2026-07-23T06:50:00+03:00,DP,TIV,MOW,311,Aviakassa,0,585,425,0,1,Tivat,ME
